ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Authors,DataEntry,Consultants,Representations,alt_names,date
172,Panare,enap1235,Panare,pbh,South America,6.95035,-65.8483,Cariban,Jana Price,Mary Ritchie Key,,Phonemic,Abira;Eye;Eñepa;Panari,2007-08-30
173,Macushi,macu1259,Macushi,mbc,South America,4.31861,-60.2209,Cariban,Miriam Abbott;Patrick Foster,Mary Ritchie Key,,Phonemic,Macusi;Makushi;Makusi;Makuxi;Teueia;Teweya,2007-08-30
174,De'kwana,maqu1238,Ye'kwana,mch,South America,4.70705,-64.3877,Cariban,Katherine Hall,Mary Ritchie Key,,Phonemic,Carib (De'kwana);Cunuana;De'cuana;De'kwana Carib;Maiongong;Maquiritai;Maquiritare;Maquiritari;Pawana;Soto;Ye'cuana;Yekuana,2007-08-30
175,Wai Wai,waiw1244,Waiwai,waw,South America,1.50881,-59.1417,Cariban,Robert E. Hawkins,Mary Ritchie Key,,Phonemic,Ouayeone;Uaieue;Uaiuai;Waiwai,2007-08-30
176,Spanish,stan1288,Spanish,spa,Eurasia,40.4414,-1.11788,Indo-European,Joan Rafel;various,Mary Ritchie Key,,Phonemic,Castellano;Castilian;Español,2007-08-31
177,Catalan,stan1289,Catalan,cat,Eurasia,41.453,1.569,Indo-European,Joan Rafel,Mary Ritchie Key,Native speaker,StandardOrth,Bacavès;Catalonian;Català;Catalán,2007-08-31
178,Portuguese,port1283,Portuguese,por,Eurasia,39.91,-8.1,Indo-European,various,Mary Ritchie Key,,StandardOrth,Português,2007-08-31
179,Romanian,roma1327,Romanian,ron,Eurasia,46.3913,24.2256,Indo-European,Maria Manoliu-Manea,Mackayla Infante-Wong,,StandardOrth,Daco-Rumanian;Rumanian,2007-09-12
180,Old Irish,oldi1245,Early Irish,sga,Eurasia,53.0,-8.0,Indo-European,Mary Ritchie Key,Jessica Ellis,,StandardOrth,Irish (Old),2007-09-12
181,Irish,iris1253,Irish,gle,Eurasia,53.2186,-7.61509,Indo-European,Cathal Doherty,Jessica Ellis;Cathal Doherty,,StandardOrth,Erse;Gaeilge;Gaelic,2007-09-12
182,Welsh,wels1247,Welsh,cym,Eurasia,52.0,-4.0,Indo-European,Andrew Hawke,Mary Ritchie Key;Mackayla Infante-Wong,,StandardOrth,Cymraeg,2007-09-20
183,Breton,bret1244,Breton,bre,Eurasia,48.2452,-3.78934,Indo-European,Jean Le Dû,Jessica Ellis;Mary Ritchie Key,,Phonemic,Brezhoneg,2007-09-20
184,Gothic,goth1244,Gothic,got,Eurasia,46.9304,29.9786,Indo-European,Winfred P. Lehmann,Susan Chapman,Winfred P. Lehmann,StandardOrth,Gotisch,2007-09-20
185,Old Norse,oldn1244,Old Norse,non,Eurasia,63.42,10.38,Indo-European,Olaf Jansen Westvik,Mackayla Infante-Wong,,StandardOrth,Norse (Old),2007-09-20
186,Danish,dani1285,Danish,dan,Eurasia,54.8655,9.36284,Indo-European,W. W. Schuhmacher,Mary Ritchie Key,,StandardOrth,Dansk,2007-09-20
