ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,representations,date,alt_names
212,Romani,,46.8191,14.8451,vlax1238,rmy,Phonemic,2007-09-27,Romany;Romani;Vlax;Tsigene;rromani ćhib
213,Avestan,,31.541,53.633,aves1237,ave,Phonemic,2007-09-27,Avestan;Pazend;Avesta
214,Persian,,28.6593,55.1586,west2369,pes,Phonemic,2007-09-27,Persian;Farsi
215,Ancient Aramaic,,,,olda1245,oar,Phonemic,2007-10-25,Aramaic (Ancient)
216,Elamite,,31.1833,48.2333,elam1244,elx,Phonemic,2007-10-25,Elamite
217,Negerhollands,,18.3416,-64.8922,nege1244,dcr,Phonemic,2007-10-25,Dutch Creole;Negerhollands
218,Jamaican Creole (Limonese Creole dialect),,18.13,-77.2612,jama1262,jam,Phonemic,2007-10-25,Limonese Creole;Limón Creole English;Mekatelyu
219,Basque,,43.2787,-1.31622,basq1248,eus,Phonemic,2007-10-25,Vascuense;Basque;Euskera
220,Hausa,,11.1513,8.7804,haus1257,hau,Phonemic,2007-10-25,Mgbakpa;Habe;Kado;Hausawa;Hausa;Haoussa;Abakwariga
221,Polci,,10.0258,9.53362,polc1243,plj,Phonemic,2007-10-25,Polci;Palci;Palchi;Polchi
222,Nahuatl (Sierra de Zacapoaxtla variety),,20.1554,-97.5556,high1278,azz,Phonemic,2007-10-25,"Aztec Zacapoaxtla;Zacapoaxtla Náhuat;Sierra Aztec;Náhuat de la Sierra de Puebla;Nahuatl, Highland Puebla"
223,Chatino (Zacatepec variety),,16.08,-97.3069,zaca1242,ctz,Phonemic,2007-10-25,"Chatino, Zacatepec;Chatino de San Marcos Zacatepec"
224,Karok,,41.8228,-123.315,karo1304,kyh,Phonemic,2007-10-29,Karuk;Karok
225,Seri,,28.9877,-112.384,seri1257,sei,Phonemic,2007-10-29,Seri
226,Zuni,,35.0056,-108.782,zuni1245,zun,Phonemic,2007-10-29,Zuñi;Zuni;Shiwi'ma
227,Northern Haida,,54.6931,-132.465,nort2938,hdn,Phonemic,2007-10-29,Haida Northern;Masset
228,Tlingit,,59.4447,-135.29,tlin1245,tli,Phonemic,2007-10-29,Tlinkit;Tlingit;Thlinget
229,Tsimshian,,54.6214,-130.496,nucl1649,tsi,Phonemic,2007-10-30,Chimmezyan;Tsimshian;Sm'algyax;Tsimshean;Zimshian;Tsimshian (Coast);Coast Tsimshian
230,Nuu-chah-nulth,,,,nuuc1236,nuk,Phonemic,2007-10-30,Nootka;Nutka;Nuuchahnulth
231,Bella Coola,,52.3448,-126.689,bell1243,blc,Phonemic,2007-10-30,Bella Coola;Nuxalk
232,Upper Chehalis,,46.7981,-123.169,uppe1439,cjh,Phonemic,2007-10-30,Chehalis Upper;Kwaiailk
233,Proto Austronesian,,,,aust1307,,Phonemic,2007-10-30,Proto Austronesian
