ID,Name,Description,Contributors
225,Seri,,"Stephen A. Marlett|Author;Mary B. Moser|Author;Mary Ritchie Key|Data Entry;Summer Institute of Linguistics, University of North Dakota|Consultant"
226,Zuni,,Willard Walker|Author;Iris Audova|Data Entry;Piret Klesment|Data Entry;Lynn Nichols 1992|Consultant
227,Northern Haida,,Mary Ritchie Key|Data Entry;JRS = Swanton|Consultant;John Campbell|Author
228,Tlingit,,Mary Ritchie Key|Data Entry;Mary Ritchie Key|Author
229,Tsimshian,,Mary Ritchie Key|Data Entry;Mary Ritchie Key|Author
230,Nuu-chah-nulth,,Mary Ritchie Key|Data Entry;Mary Ritchie Key|Author
231,Bella Coola,,Mary Ritchie Key|Data Entry;Mary Ritchie Key|Author
232,Upper Chehalis,,Mary Ritchie Key|Data Entry;Mary Ritchie Key|Author
233,Proto Austronesian,,Mary Ritchie Key|Author;Mary Ritchie Key|Data Entry
234,Proto Polynesian,,Mary Ritchie Key|Author;Mary Ritchie Key|Data Entry
235,Hawaiian,,Mary Ritchie Key|Data Entry;Mary Ritchie Key|Author
236,Maori,,Mary Ritchie Key|Author;Mary Ritchie Key|Data Entry
237,Marquesan,,Mary Ritchie Key|Data Entry;Mary Ritchie Key|Author
238,Rapa Nui,,Robert L. Weber|Author;Jessica Ellis|Data Entry;Mary Ritchie Key|Data Entry;Mary Ritchie Key|Author;Nancy L. Weber|Author
239,Rotuman,,Mary Ritchie Key|Data Entry;Mary Ritchie Key|Author
240,Tongan,,Mary Ritchie Key|Data Entry;Mary Ritchie Key|Author
241,Tuamotuan,,Mary Ritchie Key|Data Entry;various|Author
242,Barí,,Roberto Lizarralde (Venezuelan dialect)|Author;Manuel Lizarralde (Venezuelan dialect)|Author;Frank Morgan (Colombian  dialect)|Author;Mary Ritchie Key|Data Entry
243,Muisca,,María Stella González de Pérez|Author;Mary Ritchie Key|Data Entry
244,Páez,,Florence L. Gerdel|Author;Mary Ritchie Key|Data Entry
245,Cayapa,,Ruth Wiebe|Author;Neil Wiebe|Author;Mary Ritchie Key|Data Entry;Santiago Añapa|Consultant;Raúl Añapa|Consultant
246,Colorado,,Bruce R. Moore|Author;Mary Ritchie Key|Data Entry
247,Embera,,Mauricio Pardo Rojas|Author;Mary Ritchie Key|Data Entry
248,Epena,,Phillip Lee Harms|Author;Eladio Quiro Dura|Author;Mary Ritchie Key|Data Entry
249,Puinave,,Larry A. Richardson|Author;Mary Ritchie Key|Data Entry
250,Yuwana,,Sue Rodman|Author;David Rodman|Author;Mary Ritchie Key|Data Entry;Rodmans' field notes|Consultant
251,Yaruro,,Teresa Ann Dyck|Author;Merrill Dyck|Author;Mary Ritchie Key|Data Entry
252,Ninam (Shirishana variety),,Carole Swain|Author;Mary Ritchie Key|Data Entry
253,Yanomámi,,Jacques Lizot|Author;Mary Ritchie Key|Data Entry
254,Cofán,,M. Bub Borman|Author;Mary Ritchie Key|Data Entry;Field notes|Consultant
255,Waorani,,M. Catherine Peeke|Author;Mary Ritchie Key|Data Entry
256,Siona,,Mary Ritchie Key|Author;Mary Ritchie Key|Data Entry
257,Tuyuca,,Janet Barnes|Author;Mary Ritchie Key|Data Entry
258,Aguaruna,,Gerardo Wipio Deicat|Author;Mary Ritchie Key|Data Entry
260,Yagua,,Esther Powlison|Author;Paul S. Powlison|Author;Mary Ritchie Key|Data Entry
261,Baure,,Mary Ritchie Key|Author;Mary Ritchie Key|Data Entry
262,Goajiro,,Jesús Olza Zubiri|Author;Miguel Angel Jusayú|Author;José Alvarez (commentary)|Author;Mary Ritchie Key|Data Entry
263,Ignaciano,,"Mary Ritchie Key|Author;Mary Ritchie Key|Data Entry;Mary Ritchie Key|Author;Mary Ritchie Key|Data Entry;Ott's material, and Ott correspondence|Consultant"
264,Mashco Piro,,Mary Ritchie Key|Author;Mary Ritchie Key|Data Entry
265,Trinitario,,Wayne Gill|Author;Ruth Gill|Author;Mary Ritchie Key|Data Entry
266,Wapishana,,Frances V. Tracy|Author;Colette Melville|Author;Olive Williams|Author;Mary Ritchie Key|Data Entry
267,Waurá,,Joan Richards|Author;Mary Ritchie Key|Data Entry
268,Yavitero,,Mary Ritchie Key|Author;Mary Ritchie Key|Data Entry;Jorge Carlos Mosonyi|Consultant
269,Aymara,,Félix Layme Pairumani|Author;Mary Ritchie Key|Data Entry
270,Chipaya,,Frances Olson|Author;Ronald D. Olson|Author;Mary Ritchie Key|Data Entry
271,Mosetén,,Andrés A. Pérez Diez|Author;Mary Ritchie Key|Data Entry
272,Araona,,Mary Ritchie Key|Author;Mary Ritchie Key|Data Entry;Donald Pitman|Consultant;Mary Pitman|Consultant
273,Cavineña,,Mary Ritchie Key|Author;Mary Ritchie Key|Data Entry
274,Ese Ejja,,Mary Ritchie Key|Author;Mary Ritchie Key|Data Entry
275,Ese Ejja (Huarayo),,María Clotilde Chavarría Mendoza|Author;Mary Ritchie Key|Data Entry
276,Tacana,,Mary Ritchie Key|Author;Mary Ritchie Key|Data Entry
277,Cashibo,,Mary Ritchie Key|Author;R. Michael Tugwell|Author;R. Michael Tugwell|Data Entry;Mary Ritchie Key|Data Entry
278,Catuquina,,"Gerald Raymond Kennell, Jr.|Author;Mary Ritchie Key|Data Entry"
279,Chácobo,,Mary Ritchie Key|Author;Marian Prost|Author;Mary Ritchie Key|Data Entry
280,Pacahuara,,Mary Ritchie Key|Data Entry;Jeanne East|Consultant;Guy East|Consultant;Mary Ritchie Key|Author
281,Shipibo-Conibo,,Mary Ritchie Key|Author;Mary Ritchie Key|Data Entry
282,Yaminahua,,Ivagene Shive|Author;Mary Ritchie Key|Data Entry
283,Cayuvava,,Mary Ritchie Key|Author;Mary Ritchie Key|Data Entry
