name,lg_id,what_did_id,contact
Mary Ritchie Key,290,1,
Mary Ritchie Key,291,2,
Mary Ritchie Key,291,1,
priest1985,291,4,
Françoise Grenand,292,2,
Raymond Alasuka,292,2,
Mary Ritchie Key,292,1,
Mary Ritchie Key,293,2,
Mary Ritchie Key,293,1,
Mary Ritchie Key,294,2,
Mary Ritchie Key,294,1,
Ursula Wiesemann,294,3,
Wiesemann1981,294,4,
Mary Ritchie Key,295,2,
Mary Ritchie Key,295,1,
fortune,295,4,
Aurore Monod-Becquelin,296,2,
Mary Ritchie Key,296,1,
Janet R. Briggs,297,2,
Mary Ritchie Key,297,1,
Ruth Sammons,298,2,
Mary Ritchie Key,298,1,
Ernesto Unruh,299,2,
Hannes Kalisch,299,2,
Mary Ritchie Key,299,1,
unruh1997,299,4,
Elizabeth Richards,300,2,
Timothy Curtis,300,2,
Mary Ritchie Key,300,1,
Albert S. Buckwalter,301,2,
Roberto Ruiz,301,2,
Mary Ritchie Key,301,1,
Albert S. Buckwalter,302,2,
Julio Suárez,302,2,
Mary Ritchie Key,302,1,
Ana Gerzenstein,304,2,
Mary Ritchie Key,304,1,
Ana Gerzenstein,305,2,
Mary Ritchie Key,305,1,
José A. Braunstein,306,2,
Mary Ritchie Key,306,1,
seelwische1980,307,4,
seelwische1990,307,4,
Nélida N. Stell,307,2,
José Seelwische,307,2,
Mary Ritchie Key,307,1,
Roberto Lehnert Santander,308,2,
Mary Ritchie Key,308,1,
Mary Ritchie Key,238,2,
Nancy L. Weber,238,2,
martinez1913,238,4,
Fuentes1960;thomson1891;aguera1770;forster1778,238,4,
María Catrileo,309,2,
Ana V. Fernández Garay (Ranquel),309,2,
Mary Ritchie Key,309,2,
Mary Ritchie Key,310,1,
Rodolfo M. Casamiquela,312,2,
Martine Delahaye,310,2,
Elena L. Najlis,311,2,
Mary Ritchie Key,311,1,
José Pedro Viegas Barros,312,2,
Mary Ritchie Key,312,1,
Elena Najlis,312,3,
casamiquela,312,4,
Christos Clairis,313,2,
José Pedro Viegas Barros,313,2,
Mary Ritchie Key,313,1,
Albert S. Buckwalter,314,2,
Orlando Sánchez,314,2,
Mary Ritchie Key,314,1,
Ana María Guerra Eissmann,315,2,
Mary Ritchie Key,315,1,
Madzhid Khalilov,62,2,
Madzhid Khalilov,316,2,
Stefan Lange,316,1,
Madzhid Khalilov,317,2,
Stefan Lange,317,1,
Robert Williams,318,1,
Robert Williams,318,2,
Ilya Peiros,400,2,NULL
Ilya Peiros,401,2,NULL
Ilya Peiros,402,2,NULL
Ilya Peiros,403,2,NULL
Ilya Peiros,404,2,NULL
Ilya Peiros,405,2,NULL
Ilya Peiros,406,2,NULL
Ilya Peiros,407,2,NULL
Ilya Peiros,408,2,NULL
Ilya Peiros,409,2,NULL
Ilya Peiros,410,2,NULL
Ilya Peiros,411,2,NULL
Ilya Peiros,412,2,NULL
Ilya Peiros,413,2,NULL
Ilya Peiros,414,2,NULL
Ilya Peiros,415,2,NULL
Ilya Peiros,416,2,NULL
Ilya Peiros,417,2,NULL
Ilya Peiros,418,2,NULL
Ilya Peiros,419,2,NULL
Ilya Peiros,420,2,NULL
Ilya Peiros,421,2,NULL
Ilya Peiros,422,2,NULL
Ilya Peiros,423,2,NULL
Ilya Peiros,424,2,NULL
Ilya Peiros,425,2,NULL
Madzhid Khalilov,325,2,NULL
Madzhid Khalilov,322,2,NULL
Madzhid Khalilov,323,2,NULL
Madzhid Khalilov,324,2,NULL
Madzhid Khalilov,501,2,NULL
Madzhid Khalilov,500,2,NULL
Madzhid Khalilov,502,2,NULL
Madzhid Khalilov,503,2,NULL
Madzhid Khalilov,504,2,NULL
Madzhid Khalilov,505,2,NULL
Madzhid Khalilov,506,2,NULL
Madzhid Khalilov,507,2,NULL
Madzhid Khalilov,508,2,NULL
Madzhid Khalilov,509,2,NULL
Madzhid Khalilov,510,2,NULL
Madzhid Khalilov,511,2,NULL
Madzhid Khalilov,512,2,NULL
Madzhid Khalilov,513,2,NULL
Madzhid Khalilov,514,2,NULL
Madzhid Khalilov,515,2,NULL
Madzhid Khalilov,516,2,NULL
Madzhid Khalilov,517,2,NULL
Madzhid Khalilov,519,2,NULL
Madzhid Khalilov,518,2,NULL
Madzhid Khalilov,522,2,NULL
Madzhid Khalilov,521,2,NULL
Madzhid Khalilov,520,2,NULL
Madzhid Khalilov,523,2,NULL
Madzhid Khalilov,524,2,NULL
Madzhid Khalilov,525,2,NULL
Madzhid Khalilov,526,2,NULL
Madzhid Khalilov,527,2,NULL
Madzhid Khalilov,528,2,NULL
Madzhid Khalilov,529,2,NULL
Madzhid Khalilov,530,2,NULL
Madzhid Khalilov,531,2,NULL
Madzhid Khalilov,532,2,NULL
Madzhid Khalilov,533,2,NULL
Madzhid Khalilov,534,2,
Stefan Lange,534,1,
Madzhid Khalilov,319,2,NULL
Madzhid Khalilov,320,2,NULL
Madzhid Khalilov,321,2,NULL
Anju Saxena,701,2,
Anju Saxena,702,2,
Anju Saxena,703,2,
Anju Saxena,704,2,
Anju Saxena,705,2,
Anju Saxena,706,2,
Anju Saxena,707,2,
Anju Saxena,708,2,
Anju Saxena,709,2,
Anju Saxena,710,2,
Marantha T. Wahlang,703,2,
Anju Saxena,701,1,
Mohini Pimpalkhare,701,1,
Anju Saxena,702,1,
Mohini Pimpalkhare,702,1,
Marantha T. Wahlang,703,1,
Muhammad Rafiq,703,1,
David Karlander,704,1,
Mohini Pimpalkhare,705,1,
Anju Saxena,706,1,
Mohini Pimpalkhare,707,1,
Mohamed Hashim,708,1,
David Karlander,709,1,
Anju Saxena,709,1,
K. Taraka Rama,709,1,
David Karlander,710,1,
saxena701,701,4,
saxena702,702,4,
saxena703,703,4,
saxena704,704,4,
saxena705,705,4,
saxena706,706,4,
saxena707,707,4,
saxena708,708,4,
saxena709,709,4,
saxena710,710,4,

Ilya Peiros,800,2,
Ilya Peiros,801,2,
Ilya Peiros,802,2,
Ilya Peiros,803,2,
Ilya Peiros,804,2,
Ilya Peiros,805,2,
Ilya Peiros,806,2,
Ilya Peiros,807,2,
Ilya Peiros,808,2,
Ilya Peiros,809,2,
Ilya Peiros,810,2,
Ilya Peiros,811,2,
Ilya Peiros,812,2,
Ilya Peiros,813,2,
Ilya Peiros,814,2,
Ilya Peiros,815,2,
Ilya Peiros,816,2,
Ilya Peiros,817,2,
Ilya Peiros,818,2,
Ilya Peiros,819,2,
Ilya Peiros,820,2,
Ilya Peiros,821,2,
Ilya Peiros,822,2,
Ilya Peiros,823,2,
Ilya Peiros,824,2,
Ilya Peiros,825,2,
Ilya Peiros,826,2,
Ilya Peiros,827,2,
Ilya Peiros,828,2,
Ilya Peiros,829,2,
Ilya Peiros,830,2,
Ilya Peiros,831,2,
Ilya Peiros,832,2,
Ilya Peiros,833,2,
Ilya Peiros,834,2,
Ilya Peiros,835,2,
Ilya Peiros,836,2,
Ilya Peiros,837,2,
Ilya Peiros,838,2,
Ilya Peiros,839,2,
Ilya Peiros,840,2,
